,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj(22).145,2.0445090993622483,0.20699601815807736,1.6676626780471917,1.9001683648779955,2.035464981475794,2.1784167367321894,2.471279927338445,0.0036635432685625654
a_subj(22).146,1.9718999173819451,0.18775152626444275,1.6267940820933315,1.845459480932579,1.9612490835682739,2.090147381933017,2.371490032057493,0.002705076933392965
a_subj(22).148,2.047720195793879,0.2036638444631716,1.66084729725514,1.9085111057088877,2.0408169203500623,2.1801806069032024,2.466563373188909,0.0023103201141862696
a_subj(22).152,2.365635805746035,0.21022218621178104,1.9889337243353107,2.2166387262012095,2.3514460542004776,2.501186258994517,2.809850434746044,0.0034715388482654637
a_subj(22).154,1.912578505381516,0.19571506358573335,1.5552936714378784,1.7782116995095212,1.9019936644200774,2.0408183574740524,2.324545671529098,0.003216845668370722
a_subj(22).155,2.3054844049365566,0.20742945444078134,1.9364143077717006,2.158647194546704,2.2953249646267073,2.434293276979906,2.7451200421610054,0.0032008886495727383
a_subj(22).157,1.9614001159035404,0.18937432950331778,1.6123183197757678,1.83128382713227,1.9534350729825432,2.0828136186677444,2.3537140635667066,0.0029525804856187455
a_subj(22).159,2.5576639048316543,0.2277918866225169,2.1389477787207896,2.400890729034976,2.5485596475222017,2.701193147716377,3.03869840977601,0.0034789294148993644
a_subj(22).161,2.250250503639133,0.19384213254469,1.9044297835728896,2.114271405040549,2.241274909567399,2.3723799191273485,2.6498858837129924,0.0031656335549856834
a_subj(22).176,2.292719025263432,0.19256407451791183,1.9488794241803373,2.1594312420338277,2.2838265212122137,2.41404366377041,2.7010711259862417,0.0026532683377605525
a_subj(22).178,2.0477867172169466,0.1952835267030682,1.6935001858075538,1.9108754652614357,2.03591161951377,2.1737816903930494,2.461102027593453,0.003033108957017817
a_subj(22).179,2.322185218229582,0.2220734333025152,1.9175578561571058,2.1680465070920736,2.312420030939307,2.46307087593597,2.7950645219886123,0.0030903630161021748
a_subj(22).181,2.0159489978813037,0.18518479474586955,1.6795280267627377,1.8867599461987896,2.006489684854513,2.1330935752985245,2.41110359511337,0.0024356300121146997
a_subj(22).183,2.327670585983633,0.21004934571123202,1.9535965722774125,2.17961720258092,2.315266208849821,2.459210377381692,2.769149847501745,0.0031390996058664454
a_subj(22).184,1.8301475789305635,0.1854000679882454,1.4846897336094327,1.7019651751634304,1.8230046930096604,1.951597425410743,2.214033650138716,0.003336217865460251
a_subj(22).186,2.1207208046773234,0.174134300955475,1.8050885824432994,2.0004209677621905,2.1128908099690005,2.232802296883791,2.4892654278461364,0.0021755587639334197
a_subj(22).189,2.4903536395512704,0.21256303505342225,2.1136598963064293,2.3394118084489515,2.4781377246952525,2.6245152402416734,2.9416227183079435,0.0033478019287994224
a_subj(22).193,1.9726959419766459,0.18150663245389517,1.637915857130806,1.846403322470928,1.9658671741973237,2.0925100275778896,2.3530501581633136,0.0026814932826148903
a_subj(22).194,2.039334929728116,0.1861985481370519,1.6906742839069775,1.9126426365053213,2.0327098596565794,2.15885589021447,2.422241507289254,0.0030011085524278822
a_subj(22).196,2.2465004914526805,0.1884694008455892,1.9096698732505342,2.1147046212913456,2.2339848701164984,2.3625026571166705,2.6426916832294842,0.0025730504120515295
a_subj(22).1001,2.4333159352599987,0.23082678990471608,2.027828336937768,2.274212662777039,2.4175504369751484,2.575258954440031,2.9291094283050203,0.004010725411035627
a_subj(22).1003,2.235686269668487,0.1969558557594716,1.887088586691406,2.0978524231587468,2.223056079067764,2.359341374847115,2.655704917921165,0.0029088123053295505
a_subj(22).1007,2.153165312692817,0.19518172803471998,1.7939520243572376,2.0187750625647296,2.1417321630728066,2.2775046457804877,2.5598542729420704,0.0032115179858924294
a_subj(22).1009,2.157556724937132,0.2174471738221079,1.765649485701389,2.0084816734013984,2.1454348258210962,2.2923020440736313,2.622652544591829,0.00462168826835062
a_subj(22).1015,2.0791586557842687,0.1954974352179386,1.7306239416172389,1.9423424197326722,2.067584123959053,2.2019547344176544,2.489947482856296,0.0024240800414845705
a_subj(22).1017,1.9451934300945435,0.1915861833429909,1.592677628121138,1.8113804350807854,1.9364161388048666,2.071664311237904,2.3429248473797806,0.0028139782718777048
a_subj(22).1021,2.143527741575892,0.19425645358826324,1.7871742386272342,2.0081187656437582,2.1344333696209787,2.2657663090944817,2.5541327424729476,0.0032076697019549397
a_subj(22).1025,1.7956131828569655,0.18120218275516423,1.460367144775044,1.6712551464150516,1.7871919417883373,1.9135477561706473,2.1725783840865343,0.0032525131244628457
a_subj(22).1027,2.2494507094350507,0.204179454718069,1.8841148526743647,2.105537277245564,2.2371833131058976,2.381782009010523,2.679296028673191,0.002772876513179756
a_subj(22).1029,2.019796673161367,0.19607554597160184,1.666022756312678,1.8829532090722352,2.00840582099217,2.145018077526994,2.429426615040388,0.0029821127877871986
