subj_idx,response,rt_Org,rt,group
26,1,1177,1.177,22
26,0,0,0,22
26,1,27,0.027,22
26,1,1187,1.187,22
26,0,0,0,40
26,1,2388,2.388,11
26,1,2957,2.957,11
26,1,3605,3.605,11
26,0,3654,3.654,11
26,1,1294,1.294,11
26,0,1791,1.791,11
26,0,0,0,50
26,0,1048,1.048,22
26,0,969,0.969,22
26,1,746,0.746,22
26,1,810,0.81,22
26,1,715,0.715,22
26,1,1315,1.315,22
26,0,0,0,40
26,1,1781,1.781,11
26,0,1717,1.717,11
26,0,1149,1.149,11
26,1,2238,2.238,11
26,0,1494,1.494,11
26,1,3638,3.638,11
26,0,0,0,50
26,0,1038,1.038,22
26,0,1007,1.007,22
26,1,823,0.823,22
26,1,1079,1.079,22
26,1,784,0.784,22
26,1,1008,1.008,22
26,0,0,0,50
26,0,793,0.793,22
26,0,0,0,22
26,1,994,0.994,22
26,1,1049,1.049,22
26,0,0,0,22
26,1,274,0.274,22
26,0,0,0,40
26,0,2627,2.627,11
26,1,3355,3.355,11
26,1,2771,2.771,11
26,1,1652,1.652,11
26,0,1644,1.644,11
26,1,1509,1.509,11
28,0,0,0,40
28,1,3129,3.129,11
28,1,2258,2.258,11
28,1,2586,2.586,11
28,1,2754,2.754,11
28,1,2283,2.283,11
28,1,3923,3.923,11
28,0,0,0,50
28,1,1572,1.572,22
28,1,1308,1.308,22
28,1,1516,1.516,22
28,1,2549,2.549,22
28,1,1925,1.925,22
28,1,1077,1.077,22
28,0,0,0,50
28,1,1149,1.149,22
28,1,1190,1.19,22
28,1,1990,1.99,22
28,1,1566,1.566,22
28,0,0,0,22
28,1,1330,1.33,22
28,0,0,0,40
28,1,2391,2.391,11
28,1,2932,2.932,11
28,0,1997,1.997,11
28,1,2701,2.701,11
28,0,4078,4.078,11
28,1,2455,2.455,11
28,0,0,0,50
28,1,1488,1.488,22
28,0,1256,1.256,22
28,1,1201,1.201,22
28,1,1026,1.026,22
28,1,1274,1.274,22
28,1,1139,1.139,22
28,0,0,0,40
28,0,2948,2.948,11
28,1,1973,1.973,11
28,1,4093,4.093,11
28,1,1966,1.966,11
28,1,2734,2.734,11
28,1,2670,2.67,11
28,0,0,0,50
28,0,1326,1.326,22
28,1,2031,2.031,22
28,1,1215,1.215,22
28,1,2159,2.159,22
28,0,0,0,22
28,1,41,0.041,22
28,0,0,0,40
28,1,3665,3.665,11
28,1,2657,2.657,11
28,0,0,0,11
28,1,3770,3.77,11
28,1,2210,2.21,11
28,1,2146,2.146,11
28,0,0,0,50
28,1,1091,1.091,22
28,1,1011,1.011,22
28,1,1164,1.164,22
28,1,1028,1.028,22
28,1,1076,1.076,22
28,1,1749,1.749,22
28,0,0,0,40
28,1,2805,2.805,11
28,1,2029,2.029,11
28,1,3134,3.134,11
28,1,2942,2.942,11
28,1,2670,2.67,11
28,1,3862,3.862,11
30,0,0,0,40
30,0,0,0,11
30,1,2064,2.064,11
30,1,2720,2.72,11
30,1,3409,3.409,11
30,0,2521,2.521,11
30,0,0,0,11
30,0,0,0,50
30,1,1850,1.85,22
30,1,1538,1.538,22
30,0,0,0,22
30,1,1482,1.482,22
30,0,0,0,22
30,1,1227,1.227,22
30,0,0,0,50
30,1,1948,1.948,22
30,1,1340,1.34,22
30,1,1084,1.084,22
30,0,0,0,22
30,1,1317,1.317,22
30,1,1117,1.117,22
30,0,0,0,40
30,1,2766,2.766,11
30,1,3622,3.622,11
30,0,2654,2.654,11
30,1,2935,2.935,11
30,1,2927,2.927,11
30,1,3498,3.498,11
30,0,0,0,50
30,1,1188,1.188,22
30,1,836,0.836,22
30,1,1117,1.117,22
30,1,1182,1.182,22
30,1,758,0.758,22
30,1,1199,1.199,22
30,0,0,0,40
30,1,3335,3.335,11
30,1,2720,2.72,11
30,1,3281,3.281,11
30,0,2753,2.753,11
30,0,3466,3.466,11
30,0,3203,3.203,11
30,0,0,0,50
30,1,1396,1.396,22
30,0,1076,1.076,22
30,1,1733,1.733,22
30,1,1078,1.078,22
30,1,1446,1.446,22
30,1,1982,1.982,22
30,0,0,0,50
30,0,951,0.951,22
30,1,711,0.711,22
30,1,1184,1.184,22
30,1,992,0.992,22
30,0,0,0,22
30,1,2249,2.249,22
30,0,0,0,40
30,1,2145,2.145,11
30,1,4322,4.322,11
30,1,4138,4.138,11
