,0
a_subj(11).1003,1.00044710023285
a_subj(11).1007,0.9999874311582938
a_subj(11).1009,1.0001402573754927
a_subj(11).1015,1.0000434030446679
a_subj(11).1017,1.0000200165846915
a_subj(11).1021,1.0000742045952031
a_subj(11).1025,0.9999995134739804
a_subj(11).1027,1.0000269361322103
a_subj(11).1029,1.000070136971163
a_subj(11).1031,1.0000375889783601
a_subj(11).1033,1.0000287176873808
a_subj(11).1035,1.000144709893092
a_subj(11).1041,0.9999905360265083
a_subj(11).1043,1.0000353171415186
a_subj(11).1045,1.0000852873657202
a_subj(22).15,1.0001451851150902
a_subj(22).16,1.00011435539707
a_subj(22).17,1.000039239330329
a_subj(22).19,1.0001026517720513
a_subj(22).24,1.0000375361736074
a_subj(22).26,1.0003148389756475
a_subj(22).28,1.0001889560536061
a_subj(22).30,1.0000418225423782
a_subj(22).34,1.0000464642875169
a_subj(22).36,1.000043897974927
a_subj(22).38,1.00000168643617
a_subj(22).40,1.0001192293749812
a_subj(22).42,1.000083610755349
a_subj(22).44,1.0000567821021609
a_subj(22).46,1.0001795065016095
a_subj(22).48,1.0001236462571097
a_subj(22).50,1.000090641609296
a_subj(22).52,1.0005318157336083
a_subj(22).57,1.0001060096759142
a_subj(22).59,1.0001205627297722
a_subj(22).63,1.0000127138560866
a_subj(22).72,1.0001352629955482
a_subj(22).79,1.000137912388983
a_subj(22).83,1.000082895005833
a_subj(22).87,1.000109136890452
a_subj(22).92,0.9999681584657722
a_subj(22).94,1.000023040107913
a_subj(22).95,1.0000416423978176
a_subj(22).97,1.0000129642865494
a_subj(22).100,1.0000234220307074
a_subj(22).105,1.000070436802112
a_subj(22).107,1.0000777489066937
a_subj(22).108,1.0001667773461531
a_subj(22).109,1.0000937588423862
a_subj(22).112,1.000038499977421
a_subj(22).117,1.000409986583914
a_subj(22).118,1.0001628394564706
a_subj(22).119,1.0001044593784643
a_subj(22).121,1.0001557865337054
a_subj(22).123,1.0000171299429976
a_subj(22).126,1.000185090353115
a_subj(22).130,1.0001328031101544
a_subj(22).131,1.0000482259618007
a_subj(22).134,1.0000447658047305
a_subj(22).135,1.0001863537065947
a_subj(22).136,1.000101129541467
a_subj(22).142,1.0001580876844889
a_subj(22).145,1.0001744253308522
a_subj(22).146,1.0000982465560004
a_subj(22).148,1.0000904982577143
a_subj(22).152,1.0000708622875887
a_subj(22).154,1.0000716965426364
a_subj(22).155,1.0000280644009805
a_subj(22).157,1.000128008545603
a_subj(22).159,1.0002044178394793
a_subj(22).161,1.0002807193645564
a_subj(22).176,1.0000720693651055
a_subj(22).178,1.000070414393707
a_subj(22).179,1.000068824692073
a_subj(22).181,1.0000639503762423
a_subj(22).183,1.00017211930876
a_subj(22).184,1.0001735444859454
a_subj(22).186,1.0001913297070408
a_subj(22).189,1.0000796348770153
a_subj(22).193,1.0001005098137863
a_subj(22).194,1.0000738481863867
a_subj(22).196,1.000019964331582
a_subj(22).1001,1.0001214174669466
a_subj(22).1003,1.0001149629118233
a_subj(22).1007,1.0000182709404213
a_subj(22).1009,1.0000977667592459
a_subj(22).1015,1.0000750667488465
a_subj(22).1017,1.0001543313155972
a_subj(22).1021,1.0000662133075777
a_subj(22).1025,1.0001526937887848
a_subj(22).1027,1.000037969167872
a_subj(22).1029,1.0000491282202628
a_subj(22).1031,1.0002717944668371
a_subj(22).1033,0.9999952105809262
a_subj(22).1035,1.0000508214751929
a_subj(22).1041,1.0002765538807872
a_subj(22).1043,0.9999934304960874
a_subj(22).1045,1.0001201375638342
v(11),1.0001010106121175
v(22),1.0002925524388298
v_std,1.0002460206838668
v_subj(11).15,1.00003629448561
v_subj(11).16,1.0000667294703118
v_subj(11).17,0.999991641725684
v_subj(11).24,1.0000364480523012
v_subj(11).26,1.0000203380992894
v_subj(11).28,0.9999841799749508
v_subj(11).30,0.9999657226026367
v_subj(11).34,0.9999799562254431
v_subj(11).36,0.9999965224082618
